"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04287686","Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2)","Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-Éø (TNF-Éø) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events","The First Affiliated Hospital of Guangzhou Medical University","All","18 Years to 80 Years ? (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GIRH-APN01","February 2020","April 2020","April 2020","February 27, 2020",,"February 27, 2020","GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04287686"
2,"NCT04291053","The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Huaier Granule","Mortality rate|Clinical status assessed by the ordinal scale|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function","Tongji Hospital","All","18 Years to 75 Years ? (Adult, Older Adult)","Phase 2|Phase 3","550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TJ-IRB20200205","March 1, 2020","August 1, 2020","September 1, 2020","March 2, 2020",,"March 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04291053"
3,"NCT04270383","Clinical Characteristics and Long-term Prognosis of 2019-nCoV Infection in Children",,"Not yet recruiting","No Results Available","2019-nCoV",,"The cure rate of 2019-nCoV.|The improvement rate of 2019-nCoV.|The incidence of long-term adverse outcomes.|Duration of fever|Duration of respiratory symptoms|Duration of hospitalization|Number of participant(s) need intensive care|Number of participant(s) with acute respiratory distress syndrome|Number of participant(s) with extra-pulmonary complications, including shock, renal failure, multiple organ failure, hemophagocytosis syndrome, et al.|Number of participant(s) who died during the trial","Beijing Children's Hospital|Capital Institute of Pediatrics, China|The First Affiliated Hospital of Anhui Medical University|China-Japan Friendship Hospital|The First Affiliated Hospital of Xiamen University|Guangzhou Women and Children's Medical Center|Shenzhen Children's Hospital|First Affiliated Hospital of Guangxi Medical University|The Affiliated Hospital Of Guizhou Medical University|Hainan People's Hospital|Children's Hospital of Hebei Province|Wuhan Women and Children's Medical Center|Changchun Children's Hospital|ChildrenÅfs Hospital of Nanjing Medical University|Jiangxi Province Children's Hospital|Shengjing Hospital|Shanxi Provincial Maternity and Children's Hospital|Xian Children's Hospital|Children's Hospital of Chongqing Medical University|Tianjin Children's Hospital|Tianjin Medical University Second Hospital|Kunming Children's Hospital|Second Affiliated Hospital of Wenzhou Medical University","All","up to 18 Years ? (Child, Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","BCH Lung 012","February 15, 2020","December 31, 2020","December 31, 2020","February 17, 2020",,"February 17, 2020","Beijing Children's Hospital,, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04270383"
4,"NCT04275947","The COVID-19 Mobile Health Study (CMHS)","CMHS","Recruiting","No Results Available","COVID-19","Other: nCapp, a cell phone-based auto-diagnosis system","Accuracy of nCapp COVID-19 risk diagnostic model","Chinese Alliance Against Lung Cancer|Shanghai Respiratory Research Institution","All","18 Years to 90 Years ? (Adult, Older Adult)",,"450","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CAALC-008-CMHS","February 14, 2020","April 30, 2020","May 31, 2020","February 19, 2020",,"February 19, 2020","Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04275947"
5,"NCT04268537","Immunoregulatory Therapy for 2019-nCoV",,"Not yet recruiting","No Results Available","2019 nCoV, PD-1","Drug: PD-1 blocking antibody+standard treatment|Drug: Thymosin+standard treatment|Other: standard treatment","lung injury score|absolute lymphocyte counts|serum level of CRP, PCT and IL-6|SOFA score|all cause mortality rate|ventilation free days|ICU free days","Southeast University, China","All","18 Years and older ? (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2020YFC0841300-03","February 10, 2020","April 30, 2020","October 31, 2020","February 13, 2020",,"February 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04268537"
6,"NCT04252664","Mild/Moderate 2019-nCoV Remdesivir RCT",,"Recruiting","No Results Available","2019-nCoV","Drug: Remdesivir|Drug: Remdesivir placebo","Time to Clinical recoveryTime to Clinical Recovery (TTCR)|All cause mortality|Frequency of respiratory progression|Time to defervescence (in those with fever at enrolment)|Time to cough reported as mild or absent (in those with cough at enrolment rated severe or moderate)|Time to dyspnea reported as mild or absent (on a scale of severe, moderate, mild absent, in those with dyspnoea at enrolment rated as severe or moderate,)|Frequency of requirement for supplemental oxygen or non-invasive ventilation|Time to 2019-nCoV RT-PCR negative in upper respiratory tract specimen|Change (reduction) in 2019-nCoV viral load in upper respiratory tract specimen as assessed by area under viral load curve.|Frequency of requirement for mechanical ventilation|Frequency of serious adverse events","Capital Medical University|Chinese Academy of Medical Sciences","All","18 Years and older ? (Adult, Older Adult)","Phase 3","308","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CAP-China remdesivir 1","February 12, 2020","April 10, 2020","April 27, 2020","February 5, 2020",,"February 24, 2020","Jin Yin-tan hospital, Wu Han, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04252664"
7,"NCT04285801","Critically Ill Patients With COVID-19 in Hong Kong: a Multicentre Observational Cohort Study",,"Completed","No Results Available","COVID-19",,"2 week mortality|percentage had vasopressor use|percentage on mechanical ventilation|sequential organ function assessment score|ECMO use|percentage nitric oxide use|percentage free from oxygen supplement","Chinese University of Hong Kong","All","18 Years and older ? (Adult, Older Adult)",,"8","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","2020.059","February 14, 2020","February 25, 2020","February 25, 2020","February 26, 2020",,"March 3, 2020","Pamela Youde Nethersole Eastern Hospital, Hong Kong, Hong Kong|Prince of Wales Hospital, Hong Kong, Hong Kong|Princess Margaret Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04285801"
8,"NCT04261426","The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Intravenous Immunoglobulin|Other: Standard care","Clinical improvement based on the 7-point scale|Lower Murray lung injury score|28-day mortality|Duration of mechanical ventilation|Duration of hospitalization|Proportion of patients with negative RT-PCR results|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Frequency of Adverse Drug Events|Frequency of Serious Adverse Drug Events","Peking Union Medical College Hospital|Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","All","18 Years and older ? (Adult, Older Adult)","Phase 2|Phase 3","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IVIG-001","February 10, 2020","April 30, 2020","June 30, 2020","February 7, 2020",,"February 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04261426"
9,"NCT04292899","Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734?) in Participants With Severe Coronavirus Disease (COVID-19)",,"Not yet recruiting","No Results Available","COVID-19","Drug: Remdesivir|Drug: Standard of Care","Proportion of Participants With Normalization of Fever and Oxygen Saturation Through Day 14|Proportion of Participants With Treatment Emergent Adverse Events Leading to Study Drug Discontinuation","Gilead Sciences","All","18 Years and older ? (Adult, Older Adult)","Phase 3","400","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GS-US-540-5773|2020-000841-15","March 2020","May 2020","May 2020","March 3, 2020",,"March 3, 2020",,,"https://ClinicalTrials.gov/show/NCT04292899"
10,"NCT04255017","A Prospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Abidol hydrochloride|Drug: Oseltamivir|Drug: Lopinavir/ritonavir","Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion(CK,ALT,Mb) recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 4","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200128","February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"February 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04255017"
